state-province,web_pages,alpha_two_code,country,name,domains,
null,http://www.nita.ac.in/,IN,India,National Institute of Technology Agartala,nita.ac.in,
null,http://www.nitandhra.ac.in/,IN,India,National Institute of Technology Andhra Pradesh,nitandhra.ac.in,
null,http://www.nitap.in/,IN,India,National Institute of Technology Arunachal Pradesh,nitap.in,
null,http://www.nitc.ac.in/,IN,India,National Institute of Technology Calicut,nitc.ac.in,
null,http://www.nitdelhi.ac.in/,IN,India,National Institute of Technology Delhi,nitdelhi.ac.in,
null,http://www.nitdgp.ac.in/,IN,India,National Institute of Technology Durgapur,nitdgp.ac.in,
null,http://www.nitgoa.ac.in/,IN,India,National Institute of Technology Goa,nitgoa.ac.in,
null,http://www.nith.ac.in/,IN,India,National Institute of Technology Hamirpur,nith.ac.in,
null,http://www.nitjsr.ac.in/,IN,India,National Institute of Technology Jamshedpur,nitjsr.ac.in,
null,http://www.nitkkr.net/,IN,India,National Institute of Technology Kurukshetra,nitkkr.net,
null,http://www.nitmanipur.ac.in,IN,India,National Institute of Technology Manipur,nitmanipur.ac.in,
null,http://www.nitm.ac.in,IN,India,National Institute of Technology Meghalaya,nitm.ac.in,
null,http://www.nitmz.ac.in,IN,India,National Institute of Technology Mizoram,nitmz.ac.in,
null,http://www.nitnagaland.ac.in,IN,India,National Institute of Technology Nagaland,nitnagaland.ac.in,
null,http://www.nitp.ac.in,IN,India,National Institute of Technology Patna,nitp.ac.in,
null,http://www.nitpy.ac.in,IN,India,National Institute of Technology Puducherry,nitpy.ac.in,
null,http://www.nitrr.ac.in,IN,India,National Institute of Technology Raipur,nitrr.ac.in,
null,http://www.nitrkl.ac.in/,IN,India,National Institute of Technology Rourkela,nitrkl.ac.in,
null,http://www.nitsikkim.ac.in/,IN,India,National Institute of Technology Sikkim,nitsikkim.ac.in,
null,http://www.nits.ac.in/,IN,India,National Institute of Technology Silchar,nits.ac.in,
null,http://www.nitsri.net/,IN,India,National Institute of Technology Srinagar,nitsri.net,
null,http://www.nitk.ac.in/,IN,India,National Institute of Technology Surathkal,nitk.ac.in,
null,http://www.nitt.edu/,IN,India,National Institute of Technology Trichy,nitt.edu,
null,http://www.nituk.ac.in/,IN,India,National Institute of Technology Uttarakhand,nituk.ac.in,
null,http://www.nitw.ernet.in/,IN,India,National Institute of Technology Warangal,nitw.ernet.in,
null,http://www.nls.ac.in/,IN,India,National Law School of India University,nls.ac.in,
null,http://www.nmims.edu/,IN,India,Narsee Monjee Institute of Management Studies,nmims.edu,
null,http://www.nmu.ac.in/,IN,India,North Maharashtra University,nmu.ac.in,
null,http://www.nsit.ac.in/,IN,India,Netaji Subhas Institute of Technology,nsit.ac.in,
null,http://www.osmania.ac.in/,IN,India,Osmania University,osmania.ac.in,
null,http://www.padmavatiwomen-univ.org/,IN,India,Sri Padmavati Women's University,padmavatiwomen-univ.org,
null,http://www.pdpu.ac.in/,IN,India,Pandit Deendayal Petroleum University,pdpu.ac.in,
null,http://www.pau.edu/,IN,India,Punjab Agricultural University,pau.edu,
null,http://www.pdkv.ac.in/,IN,India,Dr. Panjabrao Deshmukh Krishi Vidyapeeth,pdkv.ac.in,
null,http://www.paruluniversity.ac.in/,IN,India,Parul University,paruluniversity.ac.in,
null,http://www.pec.ac.in/,IN,India,Punjab Engineering College,pec.ac.in,
null,http://www.pes.edu/,IN,India,Pes University,pes.edu,
null,http://www.pgimer.nic.in/,IN,India,Postgraduate lnstitute of Medical Education and Research,pgimer.nic.in,
null,http://www.pondiuni.org/,IN,India,Pondicherry University,pondiuni.org,
null,http://www.psgtech.edu/,IN,India,PSG College of Technology,psgtech.edu,
null,http://www.ptetjnvu.org/,IN,India,Jai Narain Vyas University,ptetjnvu.org,
null,http://www.ptu.ac.in/,IN,India,Punjab Technical University,ptu.ac.in,
null,http://www.puchd.ac.in/,IN,India,Panjab University,puchd.ac.in,
null,http://www.punjabiuniversity.ac.in/,IN,India,Punjabi University Patiala,punjabiuniversity.ac.in,
null,http://puonline.bih.nic.in/,IN,India,Patna University,puonline.bih.nic.in,
null,http://www.pusavarsity.org.in/,IN,India,Rajendra Agricultural University,pusavarsity.org.in,
null,http://www.rabindrabharatiuniversity.net/,IN,India,Rabindra Bharati University,rabindrabharatiuniversity.net,
null,http://www.ranchiuniversity.org.in/,IN,India,Ranchi University,ranchiuniversity.org.in,
null,http://www.raubikaner.org/,IN,India,Rajasthan Agricultural University, Bikaner,raubikaner.org,
null,http://www.rdunijbpin.org/,IN,India,Rani Durgavati University,rdunijbpin.org,
null,http://www.rgtu.net/,IN,India,Rajiv Gandhi Technical University (University of Technology of Madhya Pradesh),rgtu.net,
null,http://www.rgu.ac.in/,IN,India,Rajiv Gandhi University,rgu.ac.in,
null,http://www.riths.ac.in/,IN,India,Rajitlal Institute of Technology & Health Sciences (RITHS),riths.ac.in,
null,http://www.rmlau.ac.in/,IN,India,Dr. Ram Manohar Lohia Avadh University,rmlau.ac.in,
null,http://www.rsuniversity.com/,IN,India,Pandit Ravi Shankar Shukla University,rsuniversity.com,
null,http://www.rtu.ac.in/,IN,India,Rajasthan Technical University,rtu.ac.in,
